title,description,content,url,publishedAt,clean_description,Sentiment_Polarity,Sentiment_Label
Agencies track trail: India to China via Dubai and Cambodia,"Sources told this newspaper that I4C has traced the footprints of these cyber-financial flows to five countries: Pakistan, China, Dubai (UAE), Cambodia and Myanmar.",Investigations by Indian authorities into how cryptocurrency is used to funnel money stolen through cybercrimes to transnational syndicates have led them to a recurring maze from anonymous digital wa… [+6210 chars],https://indianexpress.com/article/express-exclusive/agencies-cryptocurrency-track-trail-india-china-dubai-cambodia-10370123/,2025-11-17T05:53:13Z,sources told this newspaper that i4c has traced the footprints of these cyberfinancial flows to five countries pakistan china dubai uae cambodia and myanmar,0.0,Neutral
Over 700 Small and Medium-Sized US Businesses Decry Trump’s Tariffs in Supreme Court Brief,"We Pay the Tariffs, a grassroots coalition spanning a range of industries, has filed a “friend of the court” brief ahead of next week’s Supreme Court hearing...","Hundreds of American enterprises are throwing their weight behind the petitioners in the case against President Donald Trumps reciprocal tariffs.
We Pay the Tariffs, a grassroots coalition made up o… [+4643 chars]",https://sourcingjournal.com/topics/trade/us-small-medium-businesses-trump-tariffs-supreme-court-brief-1234786769/,2025-10-29T22:31:27Z,we pay the tariffs a grassroots coalition spanning a range of industries has filed a friend of the court brief ahead of next weeks supreme court hearing,0.0,Neutral
How Begin Went From Upstart Challenger To A Lead Role In Pakistan’s Streaming Sector,"EXCLUSIVE: Pakistan’s newest streamer on the block, Begin, has its sights set on the long term with a number of developments and deals in the offing just a year after launch. In an exclusive interview with Deadline about the MHL-owned service’s work to date a…","EXCLUSIVE:Pakistan‘s newest streamer on the block, Begin, has its sights set on the long term with a number of developments and deals in the offing just a year after launch.
In an exclusive intervie… [+7485 chars]",http://deadline.com/2025/11/begin-pakistan-streamer-ceo-interview-1236612418/,2025-11-11T12:32:45Z,exclusive pakistans newest streamer on the block begin has its sights set on the long term with a number of developments and deals in the offing just a year after launch in an exclusive interview with deadline about the mhlowned services work to date a,-0.05,Neutral
South Korea's trade chief charts path for surviving US-China competition,"GYEONGJU, South Korea (Reuters) -South Korea aims to deepen cooperation with the United States, stabilise supply chains with China, and diversify its trading...","By Jihoon Lee
GYEONGJU, South Korea (Reuters) -South Korea aims to deepen cooperation with the United States, stabilise supply chains with China, and diversify its trading partners to navigate globa… [+3645 chars]",https://www.yahoo.com/news/articles/south-koreas-trade-chief-charts-013635140.html,2025-10-29T01:36:35Z,gyeongju south korea reuters south korea aims to deepen cooperation with the united states stabilise supply chains with china and diversify its trading,0.0,Neutral
CIA Behind “Gen Z” Protests Worldwide?,"What do you get when you combine a ban on social media with a pro-Chinese or pro-Indian socialist government?
The post CIA Behind “Gen Z” Protests Worldwide? appeared first on Global Research.",What do you get when you combine a ban on social media with a pro-Chinese or pro-Indian socialist government? According to former Indian spy and National Security Guard Lucky Bisht you get a series o… [+6203 chars],https://www.globalresearch.ca/cia-behind-gen-z-protests-worldwide/5906153,2025-11-18T15:54:50Z,"what do you get when you combine a ban on social media with a prochinese or proindian socialist government
the post cia behind gen z protests worldwide appeared first on global research",-0.029166666666666674,Neutral
Technopolis Moscow Special Economic Zone Companies Triple Export Revenue in 2025,"From January to June 2025, resident companies of the Special Economic Zone (SEZ) exported products worth around 1 billion rubles, a 3.3-fold increase compared to the same period last year, Deputy Mayor of Moscow for Transport and Industry Maksim Liksutov repo…","The latest news and stories from Russia. Stay tuned for updates and breaking news on defense, politics, economy and more.
https://sputnikglobe.com/20251112/technopolis-moscow-special-economic-zone-c… [+4827 chars]",https://sputnikglobe.com/20251112/technopolis-moscow-special-economic-zone-companies-triple-export-revenue-in-2025-1123104899.html,2025-11-12T11:06:31Z,from january to june 2025 resident companies of the special economic zone sez exported products worth around 1 billion rubles a 33fold increase compared to the same period last year deputy mayor of moscow for transport and industry maksim liksutov repo,0.17142857142857143,Positive
Pick your Women's World Cup team of the tournament,"As the Women's World Cup reaches the final, pick your team of your tournament.","Select five of the players in the vote below to fulfil slots three to seven in your team. 
Ash Gardner (Australia): Innings: five, runs: 328, average: 82, strike-rate: 130.15, wickets: seven, econom… [+1655 chars]",https://www.bbc.com/sport/cricket/articles/cn0g5r64p83o,2025-10-31T09:32:33Z,as the womens world cup reaches the final pick your team of your tournament,0.0,Neutral
MBZUAI – Building Humanity’s Symbiotic Relationship With AI,"MBZUAI, UAE’s AI-only university, builds talent and open models for underserved languages, linking research, industry and policy for human-AI solutions to global problems","Central part of the MBZUA campus in Mazdar City, Abu Dhabi
Bryan Penprase
The Mohamed bin Zayed University of Artificial Intelligence (MBZUAI) is building global talent in AI to help solve some of … [+8166 chars]",https://www.forbes.com/sites/bryanpenprase/2025/10/27/mbzuai--building-humanitys-symbiotic-relationship-with-ai/,2025-10-27T19:48:48Z,mbzuai uaes aionly university builds talent and open models for underserved languages linking research industry and policy for humanai solutions to global problems,0.0,Neutral
Saikat Chakrabarti’s Plan for the Political Revolution,"AOC’s former chief of staff wants to primary the Democratic establishment.
The post Saikat Chakrabarti’s Plan for the Political Revolution appeared first on The Intercept.","Its the end of an era. Rep. Nancy Pelosi, D-Calif., who counts among her legacies in Congress successfully undercutting the push for Medicare for All, announced last week that she is retiring from Co… [+52812 chars]",https://theintercept.com/2025/11/14/podcast-pelosi-saikat-chakrabarti/,2025-11-14T11:00:00Z,"aocs former chief of staff wants to primary the democratic establishment
the post saikat chakrabartis plan for the political revolution appeared first on the intercept",0.17,Positive
"Transcript: Liz Ann Sonders, Chief Investment Strategist at Charles Schwab","The transcript from this week’s, MiB: Liz Ann Sonders, Chief Investment Strategist at Charles Schwab, is below. You can stream and download our full conversation, including any podcast extras, on Apple Podcasts, Spotify, YouTube, and Bloomberg. All of our ear…","The transcript from this weeks, MiB: Liz Ann Sonders, Chief Investment Strategist at Charles Schwab, is below.
You can stream and download our full conversation, including any podcast extras, on App… [+72949 chars]",https://ritholtz.com/2025/10/transcript-liz-ann-sonders-schwab/,2025-10-28T13:00:05Z,the transcript from this weeks mib liz ann sonders chief investment strategist at charles schwab is below you can stream and download our full conversation including any podcast extras on apple podcasts spotify youtube and bloomberg all of our ear,0.35,Positive
What if … the United Nations was disbanded next Friday?,Experts tell Al Jazeera what would happen if the world decided to get rid of its core institution next week.,"People have been asking What if forever. Over the next few months, Al Jazeera will explore some of the biggest challenges of our time and ask leading experts: What if 
Established 80 years ago in Oc… [+13912 chars]",https://www.aljazeera.com/features/2025/11/7/what-if-the-united-nations-was-disbanded-next-friday,2025-11-07T17:21:27Z,experts tell al jazeera what would happen if the world decided to get rid of its core institution next week,0.0,Neutral
Export orientation is hard work: Why India hasn't matched the success of other Asian powerhouses,"India was at par with China and Korea once, but its industrial story flagged. A new book unpacks why a labour-rich nation couldn’t get an export edge. Policy missteps, misaligned incentives and lost chances all conspired to dim our prospects of export-led gro…","The what ifs of Indian development are many and varied. Embarking on a kind of time travel, some observers will point out that India had a per capita income comparable to Koreas, say, some six decade… [+5337 chars]",https://www.livemint.com/opinion/online-views/india-economic-development-jobs-low-skilled-exports-china-economy-manufacturing-11762245897851.html,2025-11-05T07:00:10Z,india was at par with china and korea once but its industrial story flagged a new book unpacks why a labourrich nation couldnt get an export edge policy missteps misaligned incentives and lost chances all conspired to dim our prospects of exportled gro,0.11818181818181818,Positive
Bangladesh Braces for Verdict Against Ousted Leader in Exile,,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why is YouTube TV adding ESPN Unlimited for free? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Peter Thiel's s… [+825 chars]",https://biztoc.com/x/666720fbf38c7aa4,2025-11-17T02:43:48Z,,0.0,Neutral
Who made your World Cup team of the tournament?,Find out which players made the cut into the BBC Sport team of the tournament for the Women's World Cup.,"BBC Sport readers have picked their team of the tournament for the Women's World Cup.
We asked you to pick an 11 which included two openers, five middle-order batters or all-rounders and four bowler… [+5693 chars]",https://www.bbc.com/sport/cricket/articles/c7813dw7189o,2025-11-02T19:41:48Z,find out which players made the cut into the bbc sport team of the tournament for the womens world cup,0.0,Neutral
Atmanirbharta in textiles,Policy tweaks for a level playing field,"Indias textile industry employs over 45 million people, making it the countrys second-largest employer after agriculture. Yet Indias share in global exports has stagnated at 3.9%, while smaller econo… [+5190 chars]",https://www.thehindubusinessline.com/opinion/atmanirbharta-in-textiles/article70318534.ece,2025-11-25T00:30:00Z,policy tweaks for a level playing field,0.0,Neutral
Bangladesh's ousted PM Sheikh Hasina sentenced to death for student uprising crackdown,,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Nvidia stock jump before earnings? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How will Trump's tariff divide… [+715 chars]",https://biztoc.com/x/2a31d0a906337376,2025-11-17T13:30:10Z,,0.0,Neutral
"Pakistan, Bangladesh revive economic talks after 20 years","Pakistan and Bangladesh have resumed their economic dialogue after a twenty-year gap. A Joint Economic Commission meeting took place in Dhaka, signaling renewed efforts to boost cooperation. Both nations agreed to deepen ties across various sectors including …","New Delhi: Pakistan and Bangladesh on Monday held their Joint Economic Commission (JEC) meeting in Dhaka - the first in two decades - coinciding with the visit of General Shamshad Mirza, the second-h… [+1875 chars]",https://economictimes.indiatimes.com/news/international/world-news/pakistan-bangladesh-revive-economic-talks-after-20-years/articleshow/124881147.cms,2025-10-28T18:46:06Z,pakistan and bangladesh have resumed their economic dialogue after a twentyyear gap a joint economic commission meeting took place in dhaka signaling renewed efforts to boost cooperation both nations agreed to deepen ties across various sectors including,0.13333333333333333,Positive
Social and economic consequences of rising house prices are here to stay,"The nation has not yet embraced the idea that housing needs to be more affordable, or that it's the most important economic and social issue facing the country.","When the Reserve Bank announces on Melbourne Cup Day that interest rates are staying where they are because inflation is too high again, the general response will be that it's a blow to mortgage hold… [+8294 chars]",https://www.abc.net.au/news/2025-11-03/house-prices-increase-again-mortgages-rba-interest-rate-decision/105962246,2025-11-02T18:38:10Z,the nation has not yet embraced the idea that housing needs to be more affordable or that its the most important economic and social issue facing the country,0.32666666666666666,Positive
"Tariffs, Tech Wars, and Patent Turmoil: Navigating IP Strategy in a Rapidly Changing World | IPWatchdog Unleashed","This week on IPWatchdog Unleashed we tackle the impact of tariffs and geopolitical uncertainty on intellectual property (IP) strategy, budgets and patent portfolios.  In today's fast-paced global economy, intellectual property (IP) teams face unprecedented ch…","This week on IPWatchdog Unleashed we tackle the impact of tariffs and geopolitical uncertainty on intellectual property (IP) strategy, budgets and patent portfolios.
In today’s fast-paced global eco… [+6449 chars]",https://ipwatchdog.com/2025/10/28/tariffs-tech-patent-turmoil/,2025-10-28T11:15:45Z,this week on ipwatchdog unleashed we tackle the impact of tariffs and geopolitical uncertainty on intellectual property ip strategy budgets and patent portfolios  in todays fastpaced global economy intellectual property ip teams face unprecedented ch,0.3,Positive
Bangladesh’s accession to the UN Water Convention has a ripple effect that could cause problems with India,Bangladesh’s ratification of the UN Water Convention could increase the nation’s legal clout in transboundary water governance.,"A boat crosses the Buriganga River in Dhaka, Bangladesh, on Oct. 5, 2025. MD Abu Sufian Jewel/NurPhoto via Getty Images
When Bangladesh became the first country in South Asia to join the U.N.’s Wate… [+7991 chars]",https://theconversation.com/bangladeshs-accession-to-the-un-water-convention-has-a-ripple-effect-that-could-cause-problems-with-india-264969,2025-11-03T13:14:15Z,bangladeshs ratification of the un water convention could increase the nations legal clout in transboundary water governance,0.2,Positive
Pakistan is slipping further away from democracy—It will regret letting its army rule it,Pakistan hasn’t seen tanks on the streets or a dramatic coup—but power has clearly shifted. A constitutional change granting army chief Asim Munir sweeping authority signals a takeover enabled by civilian leaders themselves. Is there any hope for democracy?,"Its usually easy to know when a country has fallen to military dictatorship. Tanks on the streets, uniforms in gilded palaces, the political class interned en masse. Sometimes, however, the takeover … [+4902 chars]",https://www.livemint.com/opinion/online-views/pakistan-democracy-army-asim-munir-shehbaz-sharif-coup-military-defence-11763713982773.html,2025-11-21T08:56:16Z,pakistan hasnt seen tanks on the streets or a dramatic coupbut power has clearly shifted a constitutional change granting army chief asim munir sweeping authority signals a takeover enabled by civilian leaders themselves is there any hope for democracy,-0.16666666666666669,Negative
You Don’t Have to Be a Lefty to Stand with Venezuela,"Once upon a time, not so long ago, I was a goddamn commie, and I’m not talking Bernie Sanders here. I’m talking hardcore, blood-red, dyed-in-the-wool, revolutionary Marxism. I was a goddamn tankie and while I quoted Lenin and defended Putin, I tended to look …","Image by Meg Jenson.
Once upon a time, not so long ago, I was a goddamn commie, and I’m not talking Bernie Sanders here. I’m talking hardcore, blood-red, dyed-in-the-wool, revolutionary Marxism. I w… [+10791 chars]",https://www.counterpunch.org/2025/11/14/you-dont-have-to-be-a-lefty-to-stand-with-venezuela/,2025-11-14T06:02:09Z,once upon a time not so long ago i was a goddamn commie and im not talking bernie sanders here im talking hardcore bloodred dyedinthewool revolutionary marxism i was a goddamn tankie and while i quoted lenin and defended putin i tended to look,-0.05,Neutral
Supreme Court prepares to weigh tariffs fight in test of Trump's power,The Supreme Court will consider Wednesday whether a federal emergency powers law gives President Trump the authority to impose his most sweeping tariffs.,"Washington — For Lindsay Hagerman, the past few months have felt tumultuous.
As the co-owner of the Pennsylvania-based RainCaper, which sells art-inspired travel accessories and gifts, Hagerman has … [+16295 chars]",https://www.cbsnews.com/news/supreme-court-to-weigh-trump-tariffs/,2025-11-04T11:00:12Z,the supreme court will consider wednesday whether a federal emergency powers law gives president trump the authority to impose his most sweeping tariffs,0.5,Positive
La Vie Hotels & Resorts Secures Management Rights for Lindeman Island’s New Luxury Resort,"La Vie Hotels & Resorts, one of Asia-Pacific’s leading independent hotel management companies, is proud to announce it has secured the management rights for the highly anticipated Lindeman Island Hotel project in Queensland’s Whitsundays.","La Vie Hotels &amp; Resorts, one of Asia-Pacifics leading independent hotel management companies, is proud to announce it has secured the management rights for the highly anticipated Lindeman Island … [+4574 chars]",https://www.hospitalitynet.org/news/4129771.html,2025-11-13T09:10:22Z,la vie hotels  resorts one of asiapacifics leading independent hotel management companies is proud to announce it has secured the management rights for the highly anticipated lindeman island hotel project in queenslands whitsundays,0.32,Positive
Analysis-Hasina's death sentence sets stage for volatile Bangladesh vote,"DHAKA (Reuters) -A Bangladeshi court's decision to sentence exiled former Prime Minister Sheikh Hasina to death has done little to heal a nation scarred by her long rule and last year's bloody crackdown against student-led, anti-government protests. Read full…",DHAKA (Reuters) -A Bangladeshi courts decision to sentence exiled former Prime Minister Sheikh Hasina to death has done little to heal a nation scarred by her long rule and last years bloody crackdow… [+4914 chars],https://www.thestar.com.my/news/world/2025/11/18/analysis-hasina039s-death-sentence-sets-stage-for-volatile-bangladesh-vote,2025-11-18T13:31:00Z,dhaka reuters a bangladeshi courts decision to sentence exiled former prime minister sheikh hasina to death has done little to heal a nation scarred by her long rule and last years bloody crackdown against studentled antigovernment protests read full,-0.11458333333333336,Negative
EU lawmakers vote to water down sustainable business rules,The EU parliament’s biggest centre-right bloc joined forces with the hard right to back amending the legislation on corporate sustainability.,"EUROPEAN LAWMAKERS HAVE voted to back the weakening of landmark EU environmental and human rights rules, as part of a business-friendly drive to slash red tape pushed through with far-right support.… [+5171 chars]",https://www.thejournal.ie/eu-lawmakers-vote-weaken-corporate-sustainability-rules-6874165-Nov2025/,2025-11-13T21:39:20Z,the eu parliaments biggest centreright bloc joined forces with the hard right to back amending the legislation on corporate sustainability,-0.0014880952380952467,Neutral
Mamdani and the big lie about the true realities in the Welfare State,The mayor-elect is spinning his wheels as he gaslights New Yorkers while pretending to recreate the wheel. Opinion.,"Economics and economies determine the fate of kingdoms, empires, nations, states and cities. It's a very serious subject and we don't need Mamdani to remind us of that!
The American Revolution of 17… [+14462 chars]",https://www.israelnationalnews.com/news/418253,2025-11-24T05:09:00Z,the mayorelect is spinning his wheels as he gaslights new yorkers while pretending to recreate the wheel opinion,0.13636363636363635,Positive
Marks & Spencer Launches Re:Spark to Ignite Renewable Electricity Adoption Across Its Fashion Supply Chain,"Marks & Spencer, a major British multinational retailer, has today announced the launch of RE:Spark, a new supply chain decarbonization programme developed in partnership with Schneider Electric, a global energy technology leader. The announcement was unveile…","Marks &amp; Spencer, a major British multinational retailer, has today announced the launch of RE:Spark, a new supply chain decarbonization programme developed in partnership with Schneider Electric,… [+3435 chars]",https://www.globenewswire.com/news-release/2025/11/19/3191127/0/en/Marks-Spencer-Launches-Re-Spark-to-Ignite-Renewable-Electricity-Adoption-Across-Its-Fashion-Supply-Chain.html,2025-11-19T15:00:00Z,marks  spencer a major british multinational retailer has today announced the launch of respark a new supply chain decarbonization programme developed in partnership with schneider electric a global energy technology leader the announcement was unveile,0.05977272727272727,Neutral
"Welcome Back Inflation! Thanks to Trump, Soon You’ll Be Bigger Than Ever!","In 2024, candidate Donald Trump promised that “a vote for Trump means your groceries will be cheaper
.” “Prices will come down
,” he vowed, “and they’ll come down fast, with everything.” “When I win,” he pledged, “I will immediately bring prices down
, sta…","In 2024, candidate Donald Trump promised that a vote for Trump means your groceries will be cheaper
. 
Prices will come down
, he vowed, and theyll come down fast, with everything. 
When I win, h… [+4480 chars]",https://www.commondreams.org/opinion/trump-policies-increase-inflation,2025-11-06T15:52:20Z,"in 2024 candidate donald trump promised that a vote for trump means your groceries will be cheaper
 prices will come down
 he vowed and theyll come down fast with everything when i win he pledged i will immediately bring prices down
 sta",0.10666666666666666,Positive
Why Trump’s White Refugee Gambit Could Backfire,"The president is shutting the door to millions seeking refugee status—but reportedly seeking preferences for white South Africans, English speakers, and Europeans who oppose migration. He may be in for a surprise.  
The post Why Trump’s White Refugee Gambit C…","On October 31, President Donald Trump announced that in 2026, the United States will allow only 7,500 refugees to enter the country, marking the most drastic limitation on refugees since the United S… [+8296 chars]",http://washingtonmonthly.com/2025/11/19/trump-white-refugee-gambit-will-backfire/,2025-11-19T10:00:00Z,"the president is shutting the door to millions seeking refugee statusbut reportedly seeking preferences for white south africans english speakers and europeans who oppose migration he may be in for a surprise  
the post why trumps white refugee gambit c",0.0,Neutral
Can Tutoring—and Technology—Finally Solve Bloom’s Two Sigma Problem?,"Tutoring and technology are revolutionizing education, addressing Bloom's two sigma problem with scalable, cost-effective, high-impact solutions.
The post Can Tutoring—and Technology—Finally Solve Bloom’s Two Sigma Problem? appeared first on Getting Smart.","By: Harry Anthony Patrinos, Lelys Dinarte, James Gresham, Renata Freitas Lemos, Rony Rodrigo Maximiliano Rodriguez Ramirez
In education research, few findings have been as provocativeor as frustrati… [+12418 chars]",https://www.gettingsmart.com/2025/11/25/can-tutoring-and-technology-finally-solve-blooms-two-sigma-problem/,2025-11-25T10:15:00Z,"tutoring and technology are revolutionizing education addressing blooms two sigma problem with scalable costeffective highimpact solutions
the post can tutoringand technologyfinally solve blooms two sigma problem appeared first on getting smart",0.23214285714285715,Positive
Why Pakistan may regret letting the Army back in,"Pakistan's military, the ""establishment,"" has subtly consolidated power, culminating in recent constitutional changes granting army chief Asim Munir extensive authority and lifelong immunity. Civilian leaders, including the Prime Minister and President, have …","Its usually easy to know when a country has fallen to military dictatorship. Tanks on the streets, uniforms in gilded palaces, the political class interned en masse. Sometimes, however, the takeover … [+4851 chars]",https://economictimes.indiatimes.com/news/defence/asim-munir-why-pakistan-may-regret-letting-the-army-back-in/articleshow/125451883.cms,2025-11-20T03:08:27Z,pakistans military the establishment has subtly consolidated power culminating in recent constitutional changes granting army chief asim munir extensive authority and lifelong immunity civilian leaders including the prime minister and president have,-0.10666666666666666,Negative
Marks & Spencer Launches Re:Spark to Ignite Renewable Electricity Adoption Across Its Fashion Supply Chain,"Marks & Spencer, a major British multinational retailer, has today announced the launch of RE:Spark, a new supply chain decarbonization programme developed in partnership with Schneider Electric, a global energy technology leader. The announcement was unveile…","Marks &amp; Spencer, a major British multinational retailer, has today announced the launch of RE:Spark, a new supply chain decarbonization programme developed in partnership with Schneider Electric,… [+5627 chars]",https://financialpost.com/globe-newswire/marks-spencer-launches-respark-to-ignite-renewable-electricity-adoption-across-its-fashion-supply-chain,2025-11-19T15:00:38Z,marks  spencer a major british multinational retailer has today announced the launch of respark a new supply chain decarbonization programme developed in partnership with schneider electric a global energy technology leader the announcement was unveile,0.05977272727272727,Neutral
Treasury Tightens Sanctions on Iran's Oil Network Supporting its Military,"Today, the U.S. Department of the Treasury's Office of Foreign Assets Control (OFAC) is sanctioning a network of front companies and shipping facilitators that bankroll the Iranian armed forces by selling crude oil. Following its defeat in the 12-Day War with…","U.S. Department of the Treasury
November 20, 2025 
WASHINGTON -- Today, the U.S. Department of the Treasury's Office of Foreign Assets Control (OFAC) is sanctioning a network of front companies and… [+20518 chars]",https://www.globalsecurity.org/wmd/library/news/iran/2025/11/iran-251120-treasury01.htm,2025-11-21T08:17:45Z,today the us department of the treasurys office of foreign assets control ofac is sanctioning a network of front companies and shipping facilitators that bankroll the iranian armed forces by selling crude oil following its defeat in the 12day war with,-0.27499999999999997,Negative
